dt,,tmp
"2016, 6, 21",y:,31.03297222
"2016, 6, 21",y:,31.13013889
"2016, 6, 21",y:,30.77008333
"2016, 6, 21",y:,30.47477778
"2016, 6, 21",y:,30.67333333
"2016, 6, 21",y:,30.544
"2016, 6, 21",y:,29.43719444
"2016, 6, 21",y:,29.70858333
"2016, 6, 21",y:,32.76261111
"2016, 6, 21",y:,39.21955556
"2016, 6, 21",y:,41.388
"2016, 6, 21",y:,44.00744444
"2016, 6, 21",y:,44.78475
"2016, 6, 21",y:,45.08511111
"2016, 6, 21",y:,44.07583333
"2016, 6, 21",y:,40.93086111
"2016, 6, 21",y:,36.01077778
"2016, 6, 21",y:,34.65241667
"2016, 6, 21",y:,33.18611111
"2016, 6, 21",y:,33.03344444
"2016, 6, 21",y:,32.95913889
"2016, 6, 21",,31.84244444
"2016, 6, 21",,31.29172222
"2016, 6, 21",,30.95319444
"2016, 6, 22",,30.97186111
"2016, 6, 22",,31.47369444
"2016, 6, 22",,30.58561111
"2016, 6, 22",,29.49177778
"2016, 6, 22",,28.27919444
"2016, 6, 22",,28.87069444
"2016, 6, 22",,32.49213889
"2016, 6, 22",,39.00580556
"2016, 6, 22",,45.65730556
"2016, 6, 22",,44.906
"2016, 6, 22",,46.33813889
"2016, 6, 22",,43.08136111
"2016, 6, 22",,40.25236111
"2016, 6, 22",,39.70875
"2016, 6, 22",,36.32611111
"2016, 6, 22",,35.74180556
"2016, 6, 22",,35.00394444
"2016, 6, 22",,34.71341667
"2016, 6, 22",,34.48922222
"2016, 6, 22",,33.69402778
"2016, 6, 22",,32.65366667
"2016, 6, 22",,32.66716667
"2016, 6, 22",,32.03547222
"2016, 6, 22",,31.60186111
"2016, 6, 23",,30.59591667
"2016, 6, 23",,30.82419444
"2016, 6, 23",,30.52313889
"2016, 6, 23",,30.39530556
"2016, 6, 23",,29.99647222
"2016, 6, 23",,29.54536111
"2016, 6, 23",,29.78588889
"2016, 6, 23",,31.1405
"2016, 6, 23",,33.71230556
"2016, 6, 23",,35.50594444
"2016, 6, 23",,34.00063889
"2016, 6, 23",,34.73858333
"2016, 6, 23",,36.12813889
"2016, 6, 23",,38.103207
"2016, 6, 23",,40.76922222
"2016, 6, 23",,38.05355556
"2016, 6, 23",,36.55088889
"2016, 6, 23",,32.68394444
"2016, 6, 23",,31.94708333
"2016, 6, 23",,30.67091667
"2016, 6, 23",,28.93620112
"2016, 6, 23",,29.38069444
"2016, 6, 23",,29.75761111
"2016, 6, 23",,29.53822222
"2016, 6, 24",,29.04938889
"2016, 6, 24",,29.05536111
"2016, 6, 24",,28.74666667
"2016, 6, 24",,29.09827778
"2016, 6, 24",,28.08655556
"2016, 6, 24",,27.23825
"2016, 6, 24",,29.24030556
"2016, 6, 24",,30.02119444
"2016, 6, 24",,33.35161111
"2016, 6, 24",,37.90061111
"2016, 6, 24",,38.81847222
"2016, 6, 24",,39.34527778
"2016, 6, 24",,39.25038889
"2016, 6, 24",,36.36775
"2016, 6, 24",,33.07463889
"2016, 6, 24",,31.65544444
"2016, 6, 24",,30.49716667
"2016, 6, 24",,29.12219444
"2016, 6, 24",,28.81911111
"2016, 6, 24",,28.14033333
"2016, 6, 24",,27.79230556
"2016, 6, 24",,27.44552778
"2016, 6, 24",,27.71119444
"2016, 6, 24",,26.92369444
"2016, 6, 25",,26.8555
"2016, 6, 25",,26.36113889
"2016, 6, 25",,25.22536111
"2016, 6, 25",,24.47488889
"2016, 6, 25",,24.69636111
"2016, 6, 25",,24.87272222
"2016, 6, 25",,28.45530556
"2016, 6, 25",,33.01008333
"2016, 6, 25",,37.90933333
"2016, 6, 25",,42.32383333
"2016, 6, 25",,41.15311111
"2016, 6, 25",,42.32425
"2016, 6, 25",,42.39458333
"2016, 6, 25",,40.92716667
"2016, 6, 25",,37.53861111
"2016, 6, 25",,35.08158333
"2016, 6, 25",,33.65591667
"2016, 6, 25",,31.96583333
"2016, 6, 25",,30.44052778
"2016, 6, 25",,29.53883333
"2016, 6, 25",,28.34527778
"2016, 6, 25",,27.60711111
"2016, 6, 25",,27.16919444
"2016, 6, 25",,26.74977778
"2016, 6, 26",,26.89883333
"2016, 6, 26",,26.39063889
"2016, 6, 26",,26.95027778
"2016, 6, 26",,26.80705556
"2016, 6, 26",,26.70494444
"2016, 6, 26",,26.59238889
"2016, 6, 26",,30.20427778
"2016, 6, 26",,37.10672222
"2016, 6, 26",,41.58061111
"2016, 6, 26",,45.10005556
"2016, 6, 26",,43.83975
"2016, 6, 26",,43.24586111
"2016, 6, 26",,41.21388889
"2016, 6, 26",,39.85833333
"2016, 6, 26",,36.15063889
"2016, 6, 26",,33.79963889
"2016, 6, 26",,32.85547222
"2016, 6, 26",,31.60025
"2016, 6, 26",,30.82991667
"2016, 6, 26",,31.09186111
"2016, 6, 26",,30.26861111
"2016, 6, 26",,29.62941667
"2016, 6, 26",,29.40102778
"2016, 6, 26",,28.79311111
"2016, 6, 27",,27.94919444
"2016, 6, 27",,27.03780556
"2016, 6, 27",,26.26913889
"2016, 6, 27",,25.80786111
"2016, 6, 27",,25.36486111
"2016, 6, 27",,25.16991667
"2016, 6, 27",,27.08847222
"2016, 6, 27",,31.08094444
"2016, 6, 27",,36.70502778
"2016, 6, 27",,39.08233333
"2016, 6, 27",,40.01216901
"2016, 6, 27",,39.53263889
"2016, 6, 27",,38.48405556
"2016, 6, 27",,37.95952778
"2016, 6, 27",,34.65736111
"2016, 6, 27",,32.90363889
"2016, 6, 27",,32.69988889
"2016, 6, 27",,32.07044444
"2016, 6, 27",,30.31916667
"2016, 6, 27",,29.60044444
"2016, 6, 27",,28.72766667
"2016, 6, 27",,28.02461111
"2016, 6, 27",,27.44289474
"2016, 6, 27",,26.2165343
"2016, 6, 28",,28.80144444
"2016, 6, 28",,28.47602778
"2016, 6, 28",,29.661
"2016, 6, 28",,29.15305556
"2016, 6, 28",,29.91986111
"2016, 6, 28",,30.34719444
"2016, 6, 28",,29.906
"2016, 6, 28",,28.84283333
"2016, 6, 28",,30.07444444
"2016, 6, 28",,30.45558333
"2016, 6, 28",,31.30922222
"2016, 6, 28",,31.34761111
"2016, 6, 28",,31.00208333
"2016, 6, 28",,32.37075
"2016, 6, 28",,35.89991667
"2016, 6, 28",,35.138
"2016, 6, 28",,33.66263889
"2016, 6, 28",,30.41658333
"2016, 6, 28",,29.31494444
"2016, 6, 28",,29.64558333
"2016, 6, 28",,29.98311111
"2016, 6, 28",,30.32955556
"2016, 6, 28",,29.42944444
"2016, 6, 28",,29.70475
"2016, 6, 29",,29.02172222
"2016, 6, 29",,28.80447222
"2016, 6, 29",,31.29044444
"2016, 6, 29",,35.24247222
"2016, 6, 29",,39.87508333
"2016, 6, 29",,39.33819444
"2016, 6, 29",,39.49322222
"2016, 6, 29",,43.407
"2016, 6, 29",,44.499
"2016, 6, 29",,43.14489362
"2016, 6, 29",,30.21985075
"2016, 6, 29",,32.50077778
"2016, 6, 29",,31.99436111
"2016, 6, 29",,30.65802778
"2016, 6, 29",,30.40163889
"2016, 6, 29",,29.82766667
"2016, 6, 29",,29.38391667
"2016, 6, 29",,29.15813889
"2016, 6, 29",,28.98502778
"2016, 6, 29",,28.62097222
"2016, 6, 29",,27.99913889
"2016, 6, 30",,29.54258333
"2016, 6, 30",,34.05763889
"2016, 6, 30",,37.59530556
"2016, 6, 30",,41.72097222
"2016, 6, 30",,45.22263889
"2016, 6, 30",,46.39722222
"2016, 6, 30",,46.50380556
"2016, 6, 30",,43.77038889
"2016, 6, 30",,40.51505556
"2016, 6, 30",,40.3245
"2016, 6, 30",,38.51308333
"2016, 6, 30",,35.0785
"2016, 6, 30",,33.66744444
"2016, 6, 30",,33.58747222
"2016, 6, 30",,33.19866667
"2016, 6, 30",,32.50819444
"2016, 6, 30",,31.69680556
"2016, 6, 30",,31.09488889
"2016, 6, 30",,31.38905556
"2016, 6, 30",,30.59036111
"2016, 6, 30",,30.53719444
"2016, 6, 30",,30.57586111
"2016, 6, 30",,30.71108333
"2016, 6, 30",,30.25405556
"2016, 7, 1",,31.60811111
"2016, 7, 1",,33.53341667
"2016, 7, 1",,36.73316667
"2016, 7, 1",,41.5485
"2016, 7, 1",,39.26283333
"2016, 7, 1",,38.36327778
"2016, 7, 1",,37.73711111
"2016, 7, 1",,36.37675
"2016, 7, 1",,36.02186111
"2016, 7, 1",,33.86144444
"2016, 7, 1",,33.09269444
"2016, 7, 1",,30.92902778
"2016, 7, 1",,29.579
"2016, 7, 1",,31.13255556
"2016, 7, 1",,29.64386111
"2016, 7, 1",,29.90791667
"2016, 7, 1",,29.11330556
"2016, 7, 1",,30.60269444
"2016, 7, 1",,30.57711111
"2016, 7, 1",,30.46563889
"2016, 7, 1",,29.604
"2016, 7, 1",,28.63797222
"2016, 7, 1",,26.818
"2016, 7, 1",,24.88705556
"2016, 7, 2",,26.21427778
"2016, 7, 2",,30.74480556
"2016, 7, 2",,33.44211111
"2016, 7, 2",,33.63747222
"2016, 7, 2",,35.43961111
"2016, 7, 2",,33.99555556
"2016, 7, 2",,34.73544444
"2016, 7, 2",,35.07886111
"2016, 7, 2",,34.31377778
"2016, 7, 2",,32.43163889
"2016, 7, 2",,31.83330556
"2016, 7, 2",,31.33336111
"2016, 7, 2",,31.31775
"2016, 7, 2",,30.91372222
"2016, 7, 2",,30.59155556
"2016, 7, 2",,30.12688259
"2016, 7, 2",,27.52772487
"2016, 7, 2",,29.47355556
"2016, 7, 2",,29.05336111
"2016, 7, 2",,28.86116667
"2016, 7, 2",,28.62997222
"2016, 7, 2",,28.452
"2016, 7, 2",,28.21780556
"2016, 7, 2",,27.82566667
"2016, 7, 3",,29.78411111
"2016, 7, 3",,36.97091667
"2016, 7, 3",,37.23063889
"2016, 7, 3",,33.8185
"2016, 7, 3",,38.54044444
"2016, 7, 3",,38.13125
"2016, 7, 3",,39.82241667
"2016, 7, 3",,40.40091667
"2016, 7, 3",,38.10825
"2016, 7, 3",,36.17691667
"2016, 7, 3",,35.80080556
"2016, 7, 3",,34.80616667
"2016, 7, 3",,32.39733333
"2016, 7, 3",,30.65416667
"2016, 7, 3",,30.39669444
"2016, 7, 3",,30.45938889
"2016, 7, 3",,29.84072222
"2016, 7, 3",,29.47675
"2016, 7, 3",,30.02319444
"2016, 7, 3",,29.64741667
"2016, 7, 3",,29.28936111
"2016, 7, 3",,28.34136111
"2016, 7, 3",,27.98252778
"2016, 7, 3",,27.86805556
"2016, 7, 4",,29.97747222
"2016, 7, 4",,38.78952778
"2016, 7, 4",,42.32402778
"2016, 7, 4",,45.23075
"2016, 7, 4",,48.32102778
"2016, 7, 4",,48.52655556
"2016, 7, 4",,42.09680556
"2016, 7, 4",,40.41941667
"2016, 7, 4",,38.71358333
"2016, 7, 4",,35.59422222
"2016, 7, 4",,34.75577778
"2016, 7, 4",,33.89766667
"2016, 7, 4",,31.90394444
"2016, 7, 4",,31.41627778
"2016, 7, 4",,30.37861111
"2016, 7, 4",,29.55061111
"2016, 7, 4",,29.76913889
"2016, 7, 4",,29.70780556
"2016, 7, 4",,29.02488889
"2016, 7, 4",,29.61752778
"2016, 7, 4",,30.06069444
"2016, 7, 4",,30.73916667
"2016, 7, 4",,30.41002778
"2016, 7, 4",,30.69997222
"2016, 7, 5",,31.18213889
"2016, 7, 5",,31.44597222
"2016, 7, 5",,32.70727778
"2016, 7, 5",,38.57647222
"2016, 7, 5",,37.74522222
"2016, 7, 5",,36.18830556
"2016, 7, 5",,37.47
"2016, 7, 5",,41.38355556
"2016, 7, 5",,42.5045
"2016, 7, 5",,40.31323529
"2016, 7, 5",,35.82074627
"2016, 7, 5",,36.26431429
"2016, 7, 5",,36.19244444
"2016, 7, 5",,36.76477778
"2016, 7, 5",,36.43258333
"2016, 7, 5",,35.80658333
"2016, 7, 5",,35.27427778
"2016, 7, 5",,35.05597222
"2016, 7, 5",,34.38636111
"2016, 7, 5",,33.91586111
"2016, 7, 5",,33.61472222
"2016, 7, 5",,32.70094444
"2016, 7, 6",,34.87438889
"2016, 7, 6",,42.38783333
"2016, 7, 6",,47.62377778
"2016, 7, 6",,50.81083333
"2016, 7, 6",,50.96427778
"2016, 7, 6",,51.12341667
"2016, 7, 6",,50.28763889
"2016, 7, 6",,46.33113889
"2016, 7, 6",,46.85577778
"2016, 7, 6",,42.61847222
"2016, 7, 6",,42.17886111
"2016, 7, 6",,40.34980556
"2016, 7, 6",,38.88358333
"2016, 7, 6",,37.16744444
"2016, 7, 6",,37.01522222
"2016, 7, 6",,36.77691667
"2016, 7, 6",,36.03963889
"2016, 7, 6",,35.84438889
"2016, 7, 6",,35.61994444
"2016, 7, 6",,35.23563889
"2016, 7, 6",,35.96975
"2016, 7, 6",,35.93255556
"2016, 7, 6",,35.73372222
"2016, 7, 6",,35.0425
"2016, 7, 7",,37.26072222
"2016, 7, 7",,44.50711111
"2016, 7, 7",,49.52552778
"2016, 7, 7",,50.85286111
"2016, 7, 7",,46.87038889
"2016, 7, 7",,47.03108333
"2016, 7, 7",,44.40161111
"2016, 7, 7",,44.85688889
"2016, 7, 7",,40.8621727
"2016, 7, 7",,42.75988889
"2016, 7, 7",,37.92511111
"2016, 7, 7",,37.64627778
"2016, 7, 7",,36.13121569
"2016, 7, 7",,33.82292683
"2016, 7, 8",,44.20344828
"2016, 7, 8",,43.23344444
"2016, 7, 8",,40.13452778
"2016, 7, 8",,37.56838889
"2016, 7, 8",,35.55155556
"2016, 7, 8",,33.59630556
"2016, 7, 8",,31.18961538
"2016, 7, 9",,26.66443182
"2016, 7, 9",,28.38146479
"2016, 7, 9",,27.50722034
"2016, 7, 9",,26.71144444
"2016, 7, 9",,26.11867133
"2016, 7, 9",,25.92325088
"2016, 7, 9",,27.50181159
"2016, 7, 10",,37.14180328
"2016, 7, 10",,41.77391667
"2016, 7, 10",,42.60286111
"2016, 7, 10",,40.19241722
"2016, 7, 11",,38.09380556
"2016, 7, 11",,35.39827778
"2016, 7, 11",,35.95033333
"2016, 7, 11",,35.19147222
"2016, 7, 11",,33.80383333
"2016, 7, 11",,31.32319444
"2016, 7, 11",,30.26372222
"2016, 7, 11",,29.34255556
"2016, 7, 11",,29.60163889
"2016, 7, 11",,29.04977778
"2016, 7, 11",,29.23241667
"2016, 7, 11",,29.55802778
"2016, 7, 11",,29.42841667
"2016, 7, 11",,29.07702778
"2016, 7, 11",,29.06205556
"2016, 7, 11",,29.70013889
"2016, 7, 11",,37.56552778
"2016, 7, 11",,42.68594444
"2016, 7, 11",,43.18791667
